original_domain	addresses	new_domains
google.com	172.217.164.78	1e100.net
google.com	2607:f8b0:4002:815::200e	1e100.net
youtube.com	172.217.10.206	1e100.net
youtube.com	2607:f8b0:4002:802::200e	1e100.net
facebook.com	31.13.65.36	facebook.com
facebook.com	2a03:2880:f111:83:face:b00c:0:25de	facebook.com
yahoo.com	98.137.11.164	yahoo.com
yahoo.com	2001:4998:24:120d::1:1	yahoo.com
wikipedia.org	208.80.153.224	wikimedia.org
wikipedia.org	2620:0:860:ed1a::1	wikimedia.org
google.co.in	142.251.15.94	1e100.net
google.co.in	2607:f8b0:4002:c2c::5e	1e100.net
live.com	204.79.197.212	a-msedge.net
google.co.jp	64.233.177.94	1e100.net
google.co.jp	2607:f8b0:4002:c08::5e	1e100.net
bing.com	204.79.197.200	a-msedge.net
instagram.com	31.13.65.174	fbcdn.net
instagram.com	2a03:2880:f211:e5:face:b00c:0:4420	fbcdn.net
vk.com	87.240.137.164	vk.com
google.de	216.58.195.131	1e100.net
google.de	2607:f8b0:4002:816::2003	1e100.net
yandex.ru	5.255.255.77	yandex.ru
yandex.ru	2a02:6b8:a::a	yandex.ru
google.co.uk	172.217.164.35	1e100.net
google.co.uk	2607:f8b0:4002:814::2003	1e100.net
ebay.com	209.140.136.23	ebay.com
google.fr	142.250.9.94	1e100.net
google.fr	2607:f8b0:4002:c11::5e	1e100.net
google.com.br	108.177.122.94	1e100.net
google.com.br	2607:f8b0:4002:c02::5e	1e100.net
mail.ru	94.100.180.201	mail.ru
mail.ru	2a00:1148:db00:0:b0b0::1	mail.ru
netflix.com	3.211.157.115	amazonaws.com
google.it	142.250.189.99	1e100.net
google.it	2607:f8b0:4002:817::2003	1e100.net
google.ru	108.177.122.94	1e100.net
google.ru	2607:f8b0:4002:c02::5e	1e100.net
google.es	172.253.124.94	1e100.net
google.es	2607:f8b0:4002:c10::5e	1e100.net
tumblr.com	192.0.77.40	tumblr.com
PayPal.com	64.4.250.37	xoom.com
blogspot.com	74.125.138.191	1e100.net
blogspot.com	2607:f8b0:4002:c0c::bf	1e100.net
ok.ru	5.61.23.11	odnoklassniki.ru
apple.com	17.253.144.10	apple.com.ai
apple.com	2620:149:af0::10	apple.com
github.com	140.82.112.4	github.com
google.com.mx	142.250.176.67	1e100.net
google.com.mx	2607:f8b0:4002:806::2003	1e100.net
google.co.kr	64.233.185.94	1e100.net
google.co.kr	2607:f8b0:4002:c09::5e	1e100.net
fc2.com	44.236.250.57	amazonaws.com
blogger.com	172.217.13.9	1e100.net
blogger.com	2607:f8b0:4002:800::2009	1e100.net
google.ca	64.233.185.94	1e100.net
google.ca	2607:f8b0:4002:c09::5e	1e100.net
google.com.hk	64.233.185.94	1e100.net
google.com.hk	2607:f8b0:4002:c09::5e	1e100.net
whatsapp.com	31.13.65.49	fbcdn.net
whatsapp.com	2a03:2880:f211:c5:face:b00c:0:167	fbcdn.net
google.com.tr	172.217.164.35	1e100.net
google.com.tr	2607:f8b0:4002:814::2003	1e100.net
google.co.id	64.233.177.94	1e100.net
google.co.id	2607:f8b0:4002:c08::5e	1e100.net
rakuten.co.jp	133.237.16.234	rakuten.co.jp
craigslist.org	208.82.237.129	craigslist.org
google.pl	142.251.15.94	1e100.net
google.pl	2607:f8b0:4002:c2c::5e	1e100.net
outbrain.com	192.82.210.254	outbrain.com
pixnet.net	103.23.108.107	pixnet.tw
google.com.tw	142.250.177.35	1e100.net
google.com.tw	2607:f8b0:4002:819::2003	1e100.net
booking.com	5.57.16.220	booking.com
google.com.au	64.233.185.94	1e100.net
google.com.au	2607:f8b0:4002:c09::5e	1e100.net
coccoc.com	123.30.175.29	coccoc.com
google.co.th	142.251.15.94	1e100.net
google.co.th	2607:f8b0:4002:c2c::5e	1e100.net
google.com.ar	142.250.189.99	1e100.net
google.com.ar	2607:f8b0:4002:817::2003	1e100.net
go.com	23.236.60.174	googleusercontent.com
google.nl	64.233.185.94	1e100.net
google.nl	2607:f8b0:4002:c09::5e	1e100.net
ebay.co.uk	209.140.136.23	ebay.com
globo.com	186.192.90.12	globo.com
google.com.ua	172.217.164.35	1e100.net
google.com.ua	2607:f8b0:4002:814::2003	1e100.net
uol.com.br	200.147.3.157	uol.com.br
google.com.co	142.251.15.94	1e100.net
google.com.co	2607:f8b0:4002:c2c::5e	1e100.net
google.com.vn	74.125.138.94	1e100.net
google.com.vn	2607:f8b0:4002:c0c::5e	1e100.net
google.com.ph	64.233.177.94	1e100.net
google.com.ph	2607:f8b0:4002:c08::5e	1e100.net
doubleclick.net	142.250.189.110	1e100.net
doubleclick.net	2607:f8b0:4002:817::200e	1e100.net
onet.pl	75.2.92.173	awsglobalaccelerator.com
googleadservices.com	142.250.189.98	1e100.net
accuweather.com	23.47.216.35	akamaitechnologies.com
googleweblight.com	142.251.15.132	1e100.net
googleweblight.com	2607:f8b0:4002:c2c::84	1e100.net
answers.yahoo.com	74.6.136.150	yahoo.com
